ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-07-16T05:30:44Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",379286,JP,103.90.19.202,,,,,"OSPod Episode 21: Johnny Snakeshoulders, Blue's Clues, and Hello Future Me!",Overly Sarcastic Podcast,spotify:episode:2fORcB6NQRWLceS8SnB9L4,,,,,appload,logout,False,False,False,,False
2021-07-16T05:35:50Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",278430,JP,103.90.19.202,,,,,"OSPod Episode 21: Johnny Snakeshoulders, Blue's Clues, and Hello Future Me!",Overly Sarcastic Podcast,spotify:episode:2fORcB6NQRWLceS8SnB9L4,,,,,appload,endplay,False,False,False,,False
2021-07-16T14:42:56Z,Windows 10 (10.0.18363; x64),1245580,JP,150.65.234.104,,,,,"OSPod Episode 21: Johnny Snakeshoulders, Blue's Clues, and Hello Future Me!",Overly Sarcastic Podcast,spotify:episode:2fORcB6NQRWLceS8SnB9L4,,,,,clickrow,remote,False,False,False,,False
2021-07-20T18:43:34Z,Windows 10 (10.0.18363; x64),1847450,JP,150.65.234.104,,,,,"OSPod Episode 21: Johnny Snakeshoulders, Blue's Clues, and Hello Future Me!",Overly Sarcastic Podcast,spotify:episode:2fORcB6NQRWLceS8SnB9L4,,,,,clickrow,endplay,False,False,False,,False
2021-08-08T12:33:29Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",611667,JP,219.100.183.8,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,clickrow,unexpected-exit-while-paused,False,False,False,,False
2021-08-08T20:13:07Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",270140,JP,219.100.183.64,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,logout,False,False,False,,False
2021-08-09T05:52:44Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",257828,JP,150.65.109.19,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,logout,False,False,False,,False
2021-08-09T20:26:15Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",392045,JP,219.100.182.56,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,logout,False,False,False,,False
2021-08-10T07:47:47Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",398344,JP,219.100.180.115,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,logout,False,False,False,,False
2021-08-10T19:04:21Z,"Android OS 10 API 29 (OnePlus, ONEPLUS A5010)",1248020,JP,150.65.206.162,,,,,"OSPod Episode 22: Dreams, Comedies, and a Future Tony Winner",Overly Sarcastic Podcast,spotify:episode:3skwG8KIgFf36bENmzdsFB,,,,,appload,logout,False,False,False,,False
